Area,Country,Year,Series,Capital_city,Value
288,Ghana,2010,Urban population (percent growth rate per annum),,4.0
288,Ghana,2010,Rural population (percent growth rate per annum),,1.2
288,Ghana,2010,Capital city population (thousands),Accra,2060.0
288,Ghana,2010,Capital city population (as a percentage of total population),Accra,8.4
288,Ghana,2010,Capital city population (as a percentage of total urban population),Accra,16.6
288,Ghana,2015,Urban population (percent),,54.1
288,Ghana,2015,Urban population (percent growth rate per annum),,3.6
288,Ghana,2015,Rural population (percent growth rate per annum),,0.9
288,Ghana,2015,Capital city population (thousands),Accra,2290.0
288,Ghana,2015,Capital city population (as a percentage of total population),Accra,8.3
288,Ghana,2015,Capital city population (as a percentage of total urban population),Accra,15.3
288,Ghana,2018,Urban population (percent),,56.1
288,Ghana,2018,Capital city population (thousands),Accra,2439.0
292,Gibraltar,2005,Urban population (percent),,100.0
292,Gibraltar,2005,Urban population (percent growth rate per annum),,0.6
292,Gibraltar,2005,Rural population (percent growth rate per annum),,0.0
292,Gibraltar,2010,Urban population (percent),,100.0
292,Gibraltar,2010,Urban population (percent growth rate per annum),,0.7
292,Gibraltar,2010,Rural population (percent growth rate per annum),,0.0
292,Gibraltar,2015,Urban population (percent),,100.0
292,Gibraltar,2015,Urban population (percent growth rate per annum),,0.6
292,Gibraltar,2015,Rural population (percent growth rate per annum),,0.0
292,Gibraltar,2018,Urban population (percent),,100.0
292,Gibraltar,2018,Capital city population (thousands),Gibraltar,35.0
300,Greece,2005,Urban population (percent),,74.5
300,Greece,2005,Urban population (percent growth rate per annum),,0.8
300,Greece,2005,Rural population (percent growth rate per annum),,-1.0
300,Greece,2005,Capital city population (thousands),Athens,3180.0
300,Greece,2005,Capital city population (as a percentage of total population),Athens,28.1
300,Greece,2005,Capital city population (as a percentage of total urban population),Athens,37.8
300,Greece,2010,Urban population (percent),,76.3
300,Greece,2010,Urban population (percent growth rate per annum),,0.7
300,Greece,2010,Rural population (percent growth rate per annum),,-1.2
300,Greece,2010,Capital city population (thousands),Athens,3170.0
300,Greece,2010,Capital city population (as a percentage of total population),Athens,27.7
300,Greece,2010,Capital city population (as a percentage of total urban population),Athens,36.3
300,Greece,2015,Urban population (percent),,78.0
300,Greece,2015,Urban population (percent growth rate per annum),,0.1
300,Greece,2015,Rural population (percent growth rate per annum),,-1.9
300,Greece,2015,Capital city population (thousands),Athens,3161.0
300,Greece,2015,Capital city population (as a percentage of total population),Athens,28.2
300,Greece,2015,Capital city population (as a percentage of total urban population),Athens,36.1
300,Greece,2018,Urban population (percent),,79.1
300,Greece,2018,Capital city population (thousands),Athens,3156.0
304,Greenland,2005,Urban population (percent),,82.9
304,Greenland,2005,Urban population (percent growth rate per annum),,0.6
304,Greenland,2005,Rural population (percent growth rate per annum),,-1.1
304,Greenland,2010,Urban population (percent),,84.4
304,Greenland,2010,Urban population (percent growth rate per annum),,0.3
304,Greenland,2010,Rural population (percent growth rate per annum),,-2.0
304,Greenland,2015,Urban population (percent),,86.1
304,Greenland,2015,Urban population (percent growth rate per annum),,0.3
304,Greenland,2015,Rural population (percent growth rate per annum),,-2.4
304,Greenland,2018,Urban population (percent),,86.8
304,Greenland,2018,Capital city population (thousands),Nuuk,18.0
308,Grenada,2005,Urban population (percent),,35.9
308,Grenada,2005,Urban population (percent growth rate per annum),,0.4
308,Grenada,2005,Rural population (percent growth rate per annum),,0.2
308,Grenada,2010,Urban population (percent),,35.9
308,Grenada,2010,Urban population (percent growth rate per annum),,0.3
308,Grenada,2010,Rural population (percent growth rate per annum),,0.3
308,Grenada,2015,Urban population (percent),,36.0
308,Grenada,2015,Urban population (percent growth rate per annum),,0.5
308,Grenada,2015,Rural population (percent growth rate per annum),,0.4
308,Grenada,2018,Urban population (percent),,36.3
308,Grenada,2018,Capital city population (thousands),Saint George's,39.0
312,Guadeloupe,2005,Urban population (percent),,98.4
312,Guadeloupe,2005,Urban population (percent growth rate per annum),,0.7
312,Guadeloupe,2005,Rural population (percent growth rate per annum),,0.7
312,Guadeloupe,2010,Urban population (percent),,98.4
312,Guadeloupe,2010,Urban population (percent growth rate per annum),,0.5
312,Guadeloupe,2010,Rural population (percent growth rate per annum),,0.4
312,Guadeloupe,2015,Urban population (percent),,98.4
312,Guadeloupe,2015,Urban population (percent growth rate per annum),,0.0
312,Guadeloupe,2015,Rural population (percent growth rate per annum),,-0.4
312,Guadeloupe,2018,Urban population (percent),,98.5
312,Guadeloupe,2018,Capital city population (thousands),Basse-Terre,58.0
316,Guam,2005,Urban population (percent),,93.6
316,Guam,2005,Urban population (percent growth rate per annum),,0.5
316,Guam,2005,Rural population (percent growth rate per annum),,-1.1
316,Guam,2010,Urban population (percent),,94.1
316,Guam,2010,Urban population (percent growth rate per annum),,0.2
316,Guam,2010,Rural population (percent growth rate per annum),,-1.4
316,Guam,2015,Urban population (percent),,94.5
316,Guam,2015,Urban population (percent growth rate per annum),,0.4
316,Guam,2015,Rural population (percent growth rate per annum),,-1.2
316,Guam,2018,Urban population (percent),,94.8
316,Guam,2018,Capital city population (thousands),Hagåtña,147.0
320,Guatemala,2005,Urban population (percent),,46.9
320,Guatemala,2005,Urban population (percent growth rate per annum),,3.0
320,Guatemala,2005,Rural population (percent growth rate per annum),,1.8
320,Guatemala,2005,Capital city population (thousands),Guatemala City,2302.0
320,Guatemala,2005,Capital city population (as a percentage of total population),Guatemala City,17.6
320,Guatemala,2005,Capital city population (as a percentage of total urban population),Guatemala City,37.5
320,Guatemala,2010,Urban population (percent),,48.4
320,Guatemala,2010,Urban population (percent growth rate per annum),,2.8
320,Guatemala,2010,Rural population (percent growth rate per annum),,1.6
320,Guatemala,2010,Capital city population (thousands),Guatemala City,2560.0
320,Guatemala,2010,Capital city population (as a percentage of total population),Guatemala City,17.5
320,Guatemala,2010,Capital city population (as a percentage of total urban population),Guatemala City,36.2
320,Guatemala,2015,Urban population (percent),,50.0
320,Guatemala,2015,Urban population (percent growth rate per annum),,2.7
320,Guatemala,2015,Rural population (percent growth rate per annum),,1.5
320,Guatemala,2015,Capital city population (thousands),Guatemala City,2738.0
320,Guatemala,2015,Capital city population (as a percentage of total population),Guatemala City,16.8
320,Guatemala,2015,Capital city population (as a percentage of total urban population),Guatemala City,33.7
320,Guatemala,2018,Urban population (percent),,51.1
320,Guatemala,2018,Capital city population (thousands),Guatemala City,2851.0
324,Guinea,2005,Urban population (percent),,32.3
324,Guinea,2005,Urban population (percent growth rate per annum),,2.8
324,Guinea,2005,Rural population (percent growth rate per annum),,1.5
324,Guinea,2005,Capital city population (thousands),Conakry,1345.0
324,Guinea,2005,Capital city population (as a percentage of total population),Conakry,13.9
324,Guinea,2005,Capital city population (as a percentage of total urban population),Conakry,43.1
324,Guinea,2010,Urban population (percent),,33.7
324,Guinea,2010,Urban population (percent growth rate per annum),,3.0
324,Guinea,2010,Rural population (percent growth rate per annum),,1.8
324,Guinea,2010,Capital city population (thousands),Conakry,1518.0
324,Guinea,2010,Capital city population (as a percentage of total population),Conakry,14.1
324,Guinea,2010,Capital city population (as a percentage of total urban population),Conakry,41.8
324,Guinea,2015,Urban population (percent),,35.1
324,Guinea,2015,Urban population (percent growth rate per annum),,3.1
324,Guinea,2015,Rural population (percent growth rate per annum),,1.8
324,Guinea,2015,Capital city population (thousands),Conakry,1714.0
324,Guinea,2015,Capital city population (as a percentage of total population),Conakry,14.2
324,Guinea,2015,Capital city population (as a percentage of total urban population),Conakry,40.3
324,Guinea,2018,Urban population (percent),,36.1
324,Guinea,2018,Capital city population (thousands),Conakry,1843.0
624,Guinea-Bissau,2005,Urban population (percent),,38.2
624,Guinea-Bissau,2005,Urban population (percent growth rate per annum),,3.1
624,Guinea-Bissau,2005,Rural population (percent growth rate per annum),,1.5
624,Guinea-Bissau,2005,Capital city population (thousands),Bissau,336.0
624,Guinea-Bissau,2005,Capital city population (as a percentage of total population),Bissau,24.3
624,Guinea-Bissau,2005,Capital city population (as a percentage of total urban population),Bissau,63.8
624,Guinea-Bissau,2010,Urban population (percent),,40.1
624,Guinea-Bissau,2010,Urban population (percent growth rate per annum),,3.4
624,Guinea-Bissau,2010,Rural population (percent growth rate per annum),,1.7
624,Guinea-Bissau,2010,Capital city population (thousands),Bissau,409.0
624,Guinea-Bissau,2010,Capital city population (as a percentage of total population),Bissau,26.3
624,Guinea-Bissau,2010,Capital city population (as a percentage of total urban population),Bissau,65.5
624,Guinea-Bissau,2015,Urban population (percent),,42.1
624,Guinea-Bissau,2015,Urban population (percent growth rate per annum),,3.6
624,Guinea-Bissau,2015,Rural population (percent growth rate per annum),,1.9
624,Guinea-Bissau,2015,Capital city population (thousands),Bissau,497.0
624,Guinea-Bissau,2015,Capital city population (as a percentage of total population),Bissau,28.1
624,Guinea-Bissau,2015,Capital city population (as a percentage of total urban population),Bissau,66.6
624,Guinea-Bissau,2018,Urban population (percent),,43.4
624,Guinea-Bissau,2018,Capital city population (thousands),Bissau,558.0
328,Guyana,2005,Urban population (percent),,27.8
328,Guyana,2005,Urban population (percent growth rate per annum),,-0.7
328,Guyana,2005,Rural population (percent growth rate per annum),,0.2
328,Guyana,2010,Urban population (percent),,26.6
328,Guyana,2010,Urban population (percent growth rate per annum),,-1.0
328,Guyana,2010,Rural population (percent growth rate per annum),,0.2
328,Guyana,2015,Urban population (percent),,26.4
328,Guyana,2015,Urban population (percent growth rate per annum),,0.4
328,Guyana,2015,Rural population (percent growth rate per annum),,0.6
328,Guyana,2018,Urban population (percent),,26.6
328,Guyana,2018,Capital city population (thousands),Georgetown,110.0
332,Haiti,2005,Urban population (percent),,42.6
332,Haiti,2005,Urban population (percent growth rate per annum),,5.2
332,Haiti,2005,Rural population (percent growth rate per annum),,-0.7
332,Haiti,2005,Capital city population (thousands),Port-au-Prince,2171.0
332,Haiti,2005,Capital city population (as a percentage of total population),Port-au-Prince,23.4
332,Haiti,2005,Capital city population (as a percentage of total urban population),Port-au-Prince,55.0
332,Haiti,2010,Urban population (percent),,47.5
332,Haiti,2010,Urban population (percent growth rate per annum),,3.7
332,Haiti,2010,Rural population (percent growth rate per annum),,-0.2
